id,doc_id,sentence_id,sentence_text,subj_text,subj_canonical_id,subj_canonical_term,rel_text_raw,rel_key,obj_text,obj_canonical_id,obj_canonical_term,method,created_at
1,doc_7ceb,doc_7ceb_sent_00023,"A job can be in ZOMBI state, if:
A job in UNKWN status gets a kill signal, LSF will change the job to ZOMBI state.",LSF,445,lsf,change,change,the job,6,job,openie_spacy,2026-01-26T12:57:46Z
2,doc_7ceb,doc_7ceb_sent_00038,"Job ﬁles
When a job is submitted to a queue, LSF holds it in a job ﬁle until conditions are right for it run.",a job,6,job,submit to,submit_to,a queue,757,queue,openie_spacy,2026-01-26T12:57:46Z
3,doc_7ceb,doc_7ceb_sent_00070,"The ELIM also updates
LIM when new values are received.",The ELIM,539,elim,update,update,LIM,1075,lim lsf_server_host,openie_spacy,2026-01-26T12:57:46Z
4,doc_7ceb,doc_7ceb_sent_00076,"If a host’s load is beyond any deﬁned loadSched,
a job cannot be started on the host.",a job,6,job,start on,start_on,the host,489,host,openie_spacy,2026-01-26T12:57:46Z
5,doc_7ceb,doc_7ceb_sent_00089,"When LSF schedules a job, it collects the load index values of all the candidate hosts and
compares them to the scheduling conditions.",LSF,445,lsf,schedule,schedule,a job,6,job,openie_spacy,2026-01-26T12:57:46Z
6,doc_7ceb,doc_7ceb_sent_00138,"File Example
Load information manager (lim) /usr/share/lsf/cluster1/log/lim.log.hosta
Remote execution server (res) /usr/share/lsf/cluster1/log/res.log.hosta
Management batch daemon (mbatchd) /usr/share/lsf/cluster1/log/ mbatchd.log.hosta
Management scheduler daemon (mbschd)/usr/share/lsf/cluster1/log/mbschd.log.hosta
Server batch daemon (sbatchd) /usr/share/lsf/cluster1/log/sbatchd.log.hosta
process information manager (pim) /usr/share/lsf/cluster1/log/ pim.log.hosta
Who owns and who should write to LSF_LOGDIR
Note: Make sure that the primary LSF administrator owns the LSF log directory (LSF_LOGDIR parameter), and that root can write to this directory. If
an LSF server cannot write to LSF_LOGDIR parameter, the error logs are created in /tmp.",the primary LSF administrator,663,primary lsf administrator,own,own,the LSF log directory,1054,lsf_logdir error log,openie_spacy,2026-01-26T12:57:46Z
7,doc_7ceb,doc_7ceb_sent_00163,"LSF Cluster Management and Operations
Setting up the LSF environment with cshrc.lsf and proﬁle.lsf
Before you use LSF, you must set up the LSF execution environment with the cshrc.lsf or proﬁle.lsf ﬁle.",LSF Cluster Management,684,operation lsf cluster,set,set,the LSF environment,662,lsf operating environment,openie_spacy,2026-01-26T12:57:46Z
8,doc_7ceb,doc_7ceb_sent_00163,"LSF Cluster Management and Operations
Setting up the LSF environment with cshrc.lsf and proﬁle.lsf
Before you use LSF, you must set up the LSF execution environment with the cshrc.lsf or proﬁle.lsf ﬁle.",LSF Cluster Management,684,operation lsf cluster,set with,set_with,cshrc.lsf,1066,lsf environment cshrc.lsf,openie_spacy,2026-01-26T12:57:46Z
9,doc_7ceb,doc_7ceb_sent_00214,"it tmp swp mem
hosta ok 0.0 0.0 0.1 1% 0.0 1 224 43G 67G 3G
hostc -ok 0.0 0.0 0.0 3% 0.0 3 0 38G 40G 7G
hostf busy *6.2 6.9 9.5 85% 1.1 30 0 5G 400G 385G
hosth busy 0.1 0.1 0.3 7% *17 6 0 9G 23G 28G
hostv unavail
A busy status is shown for hosts with any load index beyond their conﬁgured thresholds. An asterisk (*) marks load indexes that are beyond their
thresholds, causing the host status to be busy. A minus sign (-) in front of the value ok means that res is not running on that host.",res,1232,res,run on,run_on,that host,489,host,openie_spacy,2026-01-26T12:57:46Z
10,doc_7ceb,doc_7ceb_sent_00241,"it tmp swp mem
 loadSched - - - - - - - - - - -
 loadStop - - - - - - - - - - -
SCHEDULING POLICIES: FAIRSHARE NO_INTERACTIVE
USER_SHARES: [default, 1]
USERS: all
HOSTS: all
The bqueues -l command shows the following kinds of information about the queue:
What kinds of jobs are meant to run on the queue
Resource usage limits
Hosts and users able to use the queue
Scheduling threshold values:
loadSched is the threshold for LSF to stop dispatching jobs automatically
loadStop is the threshold for LSF to suspend a job automatically
Other useful commands",LSF,445,lsf,suspend,suspend,a job,6,job,openie_spacy,2026-01-26T12:57:46Z
11,doc_7ceb,doc_7ceb_sent_00252,"Run interactive tasks with lsrun and lsgrun
 The lsrun command runs a task on either the current local host or remotely on the best available host, provided it can ﬁnd the necessary
resources and the appropriate host type.",The lsrun command,781,lsrun command,run,run,a task,428,task,openie_spacy,2026-01-26T12:57:46Z
12,doc_7ceb,doc_7ceb_sent_00257,"When a job is submitted to LSF, it is assigned a unique job ID, in this case 3616.",a job,6,job,submit to,submit_to,LSF,445,lsf,openie_spacy,2026-01-26T12:57:46Z
13,doc_7ceb,doc_7ceb_sent_00288,"The lsrun command runs a task on either the current local host or remotely on the best available host, provided it can ﬁnd the necessary resources
and the appropriate host type.",The lsrun command,781,lsrun command,run,run,a task,428,task,openie_spacy,2026-01-26T12:57:46Z
