id,doc_id,sentence_id,sentence_text,subj_text,subj_canonical_id,subj_canonical_term,rel_text,obj_text,obj_canonical_id,obj_canonical_term,method,confidence,created_at
1,doc_4387,doc_4387_sent_00002,Accounting records can be written to a simple text file or a database.,Accounting records,178,accounting record,write to,a simple text file,,,openie_spacy,1.0,2025-12-17T18:08:41Z
2,doc_4387,doc_4387_sent_00004,"The sacct command can report resource usage for running or terminated jobs including individual tasks, which can be useful to detect load imbalance between the tasks.",The sacct command,,,report,resource usage,3967,resource usage,openie_spacy,1.0,2025-12-17T18:08:41Z
3,doc_4387,doc_4387_sent_00006,It also can give you valuable information about imbalance between tasks.,It,,,give,valuable information,,,openie_spacy,1.0,2025-12-17T18:08:41Z
4,doc_4387,doc_4387_sent_00009,"The Slurm configuration parameters (in slurm.conf) associated with these plugins include:
AccountingStorageType controls how detailed job and job step information is recorded. You can store this information in a text file or into SlurmDBD.",You,,,store,this information,,,openie_spacy,1.0,2025-12-17T18:08:41Z
5,doc_4387,doc_4387_sent_00009,"The Slurm configuration parameters (in slurm.conf) associated with these plugins include:
AccountingStorageType controls how detailed job and job step information is recorded. You can store this information in a text file or into SlurmDBD.",You,,,store in,a text file,,,openie_spacy,1.0,2025-12-17T18:08:41Z
6,doc_4387,doc_4387_sent_00013,"This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead.",this plugin,,,satisfy,your needs,,,openie_spacy,1.0,2025-12-17T18:08:41Z
7,doc_4387,doc_4387_sent_00013,"This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead.",this plugin,,,satisfy with,minimal overhead,,,openie_spacy,1.0,2025-12-17T18:08:41Z
8,doc_4387,doc_4387_sent_00014,"You can store this information in a text file, or MySQL or MariaDB database.",You,,,store,this information,,,openie_spacy,1.0,2025-12-17T18:08:41Z
9,doc_4387,doc_4387_sent_00014,"You can store this information in a text file, or MySQL or MariaDB database.",You,,,store in,a text file,,,openie_spacy,1.0,2025-12-17T18:08:41Z
10,doc_4387,doc_4387_sent_00021,"Storing the data directly into a database from Slurm may seem attractive, but it requires the availability of user name and password data not only for the Slurm control daemon (slurmctld), but also for user commands which need to access the data (sacct, sreport, and sacctmgr).",it,,,require,the availability,,,openie_spacy,1.0,2025-12-17T18:08:41Z
